sex,status,dept
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Female,Admitted,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Male,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Female,Rejected,A
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
Male,Admitted,B
