"","M","D","N69","N70","N71","N72","nday"
"1",1,1,305,"133",207,"150",1
"2",1,2,159,"195",225,"328",2
"3",1,3,251,"336",246,"42",3
"4",1,4,215,"99",264,"28",4
"5",1,5,101,"33",265,"338",5
"6",1,6,224,"285",242,"36",6
"7",1,7,306,"159",292,"111",7
"8",1,8,199,"116",287,"206",8
"9",1,9,194,"53",338,"197",9
"10",1,10,325,"101",231,"37",10
"11",1,11,329,"144",90,"174",11
"12",1,12,221,"152",228,"126",12
"13",1,13,318,"330",183,"298",13
"14",1,14,238,"71",285,"341",14
"15",1,15,17,"75",325,"221",15
"16",1,16,121,"136",74,"309",16
"17",1,17,235,"54",9,"231",17
"18",1,18,140,"185",51,"72",18
"19",1,19,58,"188",195,"303",19
"20",1,20,280,"211",310,"161",20
"21",1,21,186,"129",206,"99",21
"22",1,22,337,"132",108,"259",22
"23",1,23,118,"48",349,"258",23
"24",1,24,59,"177",337,"62",24
"25",1,25,52,"57",2,"243",25
"26",1,26,92,"140",114,"311",26
"27",1,27,355,"173",72,"110",27
"28",1,28,77,"346",357,"304",28
"29",1,29,349,"277",266,"283",29
"30",1,30,164,"112",268,"114",30
"31",1,31,211,"60",239,"240",31
"32",2,1,86,"335",306,"112",32
"33",2,2,144,"354",28,"278",33
"34",2,3,297,"186",250,"54",34
"35",2,4,210,"94",92,"68",35
"36",2,5,214,"97",233,"96",36
"37",2,6,347,"16",148,"271",37
"38",2,7,91,"25",304,"154",38
"39",2,8,181,"127",208,"347",39
"40",2,9,338,"187",130,"136",40
"41",2,10,216,"46",276,"361",41
"42",2,11,150,"227",351,"26",42
"43",2,12,68,"262",340,"195",43
"44",2,13,152,"13",118,"263",44
"45",2,14,4,"260",64,"348",45
"46",2,15,89,"201",214,"308",46
"47",2,16,212,"334",353,"227",47
"48",2,17,189,"345",198,"46",48
"49",2,18,292,"337",189,"11",49
"50",2,19,25,"331",210,"127",50
"51",2,20,302,"20",86,"106",51
"52",2,21,363,"213",15,"316",52
"53",2,22,290,"271",13,"20",53
"54",2,23,57,"351",116,"247",54
"55",2,24,236,"226",359,"261",55
"56",2,25,179,"325",335,"260",56
"57",2,26,365,"86",136,"51",57
"58",2,27,205,"66",217,"186",58
"59",2,28,299,"234",83,"295",59
"60",2,29,285,"*",305,"*",60
"61",3,1,108,"14",364,"203",61
"62",3,2,29,"77",184,"322",62
"63",3,3,267,"207",170,"220",63
"64",3,4,275,"117",283,"47",64
"65",3,5,293,"299",172,"266",65
"66",3,6,139,"296",327,"1",66
"67",3,7,122,"141",149,"2",67
"68",3,8,213,"79",229,"153",68
"69",3,9,317,"278",77,"321",69
"70",3,10,323,"150",360,"331",70
"71",3,11,136,"317",332,"239",71
"72",3,12,300,"24",258,"44",72
"73",3,13,259,"241",173,"244",73
"74",3,14,354,"12",203,"117",74
"75",3,15,169,"157",319,"152",75
"76",3,16,166,"258",347,"94",76
"77",3,17,33,"220",117,"363",77
"78",3,18,332,"319",168,"357",78
"79",3,19,200,"189",53,"358",79
"80",3,20,239,"170",200,"262",80
"81",3,21,334,"246",280,"300",81
"82",3,22,265,"269",345,"317",82
"83",3,23,256,"281",89,"022",83
"84",3,24,258,"203",133,"71",84
"85",3,25,343,"298",219,"65",85
"86",3,26,170,"121",122,"24",86
"87",3,27,268,"254",232,"181",87
"88",3,28,223,"95",215,"45",88
"89",3,29,362,"147",343,"21",89
"90",3,30,217,"56",191,"213",90
"91",3,31,30,"38",161,"326",91
"92",4,1,32,"224",96,"12",92
"93",4,2,271,"216",129,"108",93
"94",4,3,83,"297",262,"104",94
"95",4,4,81,"37",158,"280",95
"96",4,5,269,"124",294,"254",96
"97",4,6,253,"312",297,"88",97
"98",4,7,147,"142",58,"163",98
"99",4,8,312,"267",35,"050",99
"100",4,9,219,"223",289,"234",100
"101",4,10,218,"165",194,"272",101
"102",4,11,14,"178",324,"350",102
"103",4,12,346,"89",165,"23",103
"104",4,13,124,"143",271,"169",104
"105",4,14,231,"202",248,"81",105
"106",4,15,273,"182",222,"343",106
"107",4,16,148,"31",23,"119",107
"108",4,17,260,"264",251,"183",108
"109",4,18,90,"138",139,"242",109
"110",4,19,336,"62",49,"158",110
"111",4,20,345,"118",39,"314",111
"112",4,21,62,"8",342,"4",112
"113",4,22,316,"256",126,"264",113
"114",4,23,252,"292",179,"279",114
"115",4,24,2,"244",21,"362",115
"116",4,25,351,"328",238,"255",116
"117",4,26,340,"137",45,"233",117
"118",4,27,74,"235",124,"265",118
"119",4,28,262,"82",281,"55",119
"120",4,29,191,"111",109,"93",120
"121",4,30,208,"358",29,"69",121
"122",5,1,330,"179",154,"58",122
"123",5,2,298,"96",261,"275",123
"124",5,3,40,"171",177,"166",124
"125",5,4,276,"240",137,"172",125
"126",5,5,364,"301",41,"292",126
"127",5,6,155,"268",50,"337",127
"128",5,7,35,"29",106,"145",128
"129",5,8,321,"105",216,"201",129
"130",5,9,197,"357",311,"276",130
"131",5,10,65,"146",220,"100",131
"132",5,11,37,"293",107,"307",132
"133",5,12,133,"210",52,"115",133
"134",5,13,295,"353",105,"49",134
"135",5,14,178,"40",267,"224",135
"136",5,15,130,"344",162,"165",136
"137",5,16,55,"175",205,"101",137
"138",5,17,112,"212",270,"273",138
"139",5,18,278,"180",85,"98",139
"140",5,19,75,"155",55,"148",140
"141",5,20,183,"242",119,"274",141
"142",5,21,250,"225",12,"310",142
"143",5,22,326,"199",164,"333",143
"144",5,23,319,"222",197,"216",144
"145",5,24,31,"22",60,"246",145
"146",5,25,361,"26",24,"122",146
"147",5,26,357,"148",26,"118",147
"148",5,27,296,"122",241,"293",148
"149",5,28,308,"9",91,"18",149
"150",5,29,226,"61",81,"133",150
"151",5,30,103,"209",301,"48",151
"152",5,31,313,"350",18,"67",152
"153",6,1,249,"65",274,"15",153
"154",6,2,228,"304",363,"360",154
"155",6,3,301,"135",54,"245",155
"156",6,4,20,"42",187,"207",156
"157",6,5,28,"233",78,"230",157
"158",6,6,110,"153",218,"87",158
"159",6,7,85,"169",288,"251",159
"160",6,8,366,"7",84,"282",160
"161",6,9,335,"352",140,"83",161
"162",6,10,206,"76",226,"178",162
"163",6,11,134,"355",202,"64",163
"164",6,12,272,"51",273,"190",164
"165",6,13,69,"342",47,"318",165
"166",6,14,356,"363",113,"95",166
"167",6,15,180,"276",8,"16",167
"168",6,16,274,"229",68,"32",168
"169",6,17,73,"289",193,"91",169
"170",6,18,341,"214",102,"238",170
"171",6,19,104,"163",44,"52",171
"172",6,20,360,"43",30,"77",172
"173",6,21,60,"113",296,"315",173
"174",6,22,247,"307",59,"146",174
"175",6,23,109,"44",336,"212",175
"176",6,24,358,"236",328,"61",176
"177",6,25,137,"327",213,"143",177
"178",6,26,22,"308",346,"345",178
"179",6,27,64,"55",7,"330",179
"180",6,28,222,"215",57,"053",180
"181",6,29,353,"154",196,"75",181
"182",6,30,209,"217",123,"142",182
"183",7,1,93,"104",284,"39",183
"184",7,2,350,"322",61,"297",184
"185",7,3,115,"30",103,"109",185
"186",7,4,279,"59",142,"92",186
"187",7,5,188,"287",286,"139",187
"188",7,6,327,"164",185,"132",188
"189",7,7,50,"365",354,"285",189
"190",7,8,13,"106",320,"355",190
"191",7,9,277,"1",22,"179",191
"192",7,10,284,"158",234,"89",192
"193",7,11,248,"174",223,"202",193
"194",7,12,15,"257",169,"340",194
"195",7,13,42,"349",278,"306",195
"196",7,14,331,"156",307,"305",196
"197",7,15,322,"273",88,"359",197
"198",7,16,120,"284",291,"74",198
"199",7,17,98,"341",182,"199",199
"200",7,18,190,"90",131,"121",200
"201",7,19,227,"316",100,"332",201
"202",7,20,187,"120",95,"33",202
"203",7,21,27,"356",67,"5",203
"204",7,22,153,"282",132,"286",204
"205",7,23,172,"172",151,"365",205
"206",7,24,23,"360",4,"324",206
"207",7,25,67,"3",121,"35",207
"208",7,26,303,"47",350,"204",208
"209",7,27,289,"85",235,"60",209
"210",7,28,88,"190",127,"185",210
"211",7,29,270,"4",146,"222",211
"212",7,30,287,"15",112,"200",212
"213",7,31,193,"221",315,"253",213
"214",8,1,111,"326",180,"323",214
"215",8,2,45,"102",326,"27",215
"216",8,3,261,"279",176,"3",216
"217",8,4,145,"300",272,"313",217
"218",8,5,54,"64",63,"63",218
"219",8,6,114,"251",155,"208",219
"220",8,7,168,"263",355,"57",220
"221",8,8,48,"49",157,"131",221
"222",8,9,106,"125",153,"7",222
"223",8,10,21,"359",25,"249",223
"224",8,11,324,"230",34,"125",224
"225",8,12,142,"320",269,"198",225
"226",8,13,307,"58",365,"329",226
"227",8,14,198,"103",309,"205",227
"228",8,15,102,"270",20,"241",228
"229",8,16,44,"329",358,"19",229
"230",8,17,154,"343",295,"8",230
"231",8,18,141,"109",11,"113",231
"232",8,19,311,"83",150,"105",232
"233",8,20,344,"69",115,"162",233
"234",8,21,291,"50",33,"30",234
"235",8,22,339,"250",82,"140",235
"236",8,23,116,"10",143,"302",236
"237",8,24,36,"274",256,"138",237
"238",8,25,286,"364",192,"290",238
"239",8,26,245,"91",348,"76",239
"240",8,27,352,"232",352,"34",240
"241",8,28,167,"248",37,"40",241
"242",8,29,61,"32",279,"84",242
"243",8,30,333,"167",334,"182",243
"244",8,31,11,"275",111,"218",244
"245",9,1,225,"283",302,"219",245
"246",9,2,161,"161",70,"17",246
"247",9,3,49,"183",321,"226",247
"248",9,4,232,"231",32,"356",248
"249",9,5,82,"295",147,"354",249
"250",9,6,6,"21",110,"173",250
"251",9,7,8,"265",42,"144",251
"252",9,8,184,"108",43,"97",252
"253",9,9,263,"313",199,"364",253
"254",9,10,71,"130",46,"217",254
"255",9,11,158,"288",329,"334",255
"256",9,12,242,"314",308,"43",256
"257",9,13,175,"238",94,"229",257
"258",9,14,1,"247",253,"353",258
"259",9,15,113,"291",303,"235",259
"260",9,16,207,"139",243,"225",260
"261",9,17,255,"200",178,"189",261
"262",9,18,246,"333",104,"289",262
"263",9,19,177,"228",255,"228",263
"264",9,20,63,"261",313,"141",264
"265",9,21,204,"68",16,"123",265
"266",9,22,160,"88",145,"268",266
"267",9,23,119,"206",323,"296",267
"268",9,24,195,"237",277,"236",268
"269",9,25,149,"107",224,"291",269
"270",9,26,18,"93",344,"29",270
"271",9,27,233,"338",314,"248",271
"272",9,28,257,"309",5,"70",272
"273",9,29,151,"303",48,"196",273
"274",9,30,315,"18",299,"184",274
"275",10,1,359,"306",71,"215",275
"276",10,2,125,"191",76,"128",276
"277",10,3,244,"134",144,"103",277
"278",10,4,202,"266",66,"79",278
"279",10,5,24,"166",339,"86",279
"280",10,6,87,"78",6,"41",280
"281",10,7,234,"131",80,"129",281
"282",10,8,283,"45",317,"157",282
"283",10,9,342,"302",254,"116",283
"284",10,10,220,"160",312,"342",284
"285",10,11,237,"84",201,"319",285
"286",10,12,72,"70",257,"171",286
"287",10,13,138,"92",236,"269",287
"288",10,14,294,"115",36,"14",288
"289",10,15,171,"310",75,"277",289
"290",10,16,254,"34",159,"59",290
"291",10,17,288,"290",188,"177",291
"292",10,18,5,"340",134,"192",292
"293",10,19,241,"74",163,"167",293
"294",10,20,192,"196",331,"352",294
"295",10,21,243,"5",282,"288",295
"296",10,22,117,"36",263,"191",296
"297",10,23,201,"339",152,"193",297
"298",10,24,196,"149",212,"256",298
"299",10,25,176,"17",138,"9",299
"300",10,26,7,"184",69,"78",300
"301",10,27,264,"318",98,"325",301
"302",10,28,94,"28",10,"327",302
"303",10,29,229,"259",79,"349",303
"304",10,30,38,"332",87,"346",304
"305",10,31,79,"311",160,"10",305
"306",11,1,19,"243",366,"107",306
"307",11,2,34,"205",190,"214",307
"308",11,3,348,"294",300,"232",308
"309",11,4,266,"39",166,"339",309
"310",11,5,310,"286",211,"223",310
"311",11,6,76,"245",186,"211",311
"312",11,7,51,"72",17,"299",312
"313",11,8,97,"119",260,"312",313
"314",11,9,80,"176",237,"151",314
"315",11,10,282,"63",227,"257",315
"316",11,11,46,"123",244,"159",316
"317",11,12,66,"255",259,"66",317
"318",11,13,126,"272",247,"124",318
"319",11,14,127,"11",316,"237",319
"320",11,15,131,"362",318,"176",320
"321",11,16,107,"197",120,"209",321
"322",11,17,143,"6",298,"284",322
"323",11,18,146,"280",175,"160",323
"324",11,19,203,"252",333,"270",324
"325",11,20,185,"98",125,"301",325
"326",11,21,156,"35",330,"287",326
"327",11,22,9,"253",93,"102",327
"328",11,23,182,"193",181,"320",328
"329",11,24,230,"81",62,"180",329
"330",11,25,132,"23",97,"025",330
"331",11,26,309,"52",209,"344",331
"332",11,27,47,"168",240,"135",332
"333",11,28,281,"324",31,"130",333
"334",11,29,99,"100",230,"147",334
"335",11,30,174,"67",14,"134",335
"336",12,1,129,"347",38,"170",336
"337",12,2,328,"321",99,"90",337
"338",12,3,157,"110",40,"56",338
"339",12,4,165,"305",1,"250",339
"340",12,5,56,"27",252,"31",340
"341",12,6,10,"198",356,"336",341
"342",12,7,12,"162",141,"267",342
"343",12,8,105,"323",65,"210",343
"344",12,9,43,"114",27,"120",344
"345",12,10,41,"204",362,"73",345
"346",12,11,39,"73",56,"82",346
"347",12,12,314,"19",249,"85",347
"348",12,13,163,"151",204,"335",348
"349",12,14,26,"348",275,"38",349
"350",12,15,320,"87",3,"137",350
"351",12,16,96,"41",128,"187",351
"352",12,17,304,"315",293,"294",352
"353",12,18,128,"208",73,"13",353
"354",12,19,240,"249",19,"168",354
"355",12,20,135,"218",221,"149",355
"356",12,21,70,"181",341,"80",356
"357",12,22,53,"194",156,"188",357
"358",12,23,162,"219",171,"252",358
"359",12,24,95,"2",245,"155",359
"360",12,25,84,"361",135,"6",360
"361",12,26,173,"80",361,"351",361
"362",12,27,78,"239",290,"194",362
"363",12,28,123,"128",174,"156",363
"364",12,29,16,"145",101,"175",364
"365",12,30,3,"192",167,"281",365
"366",12,31,100,"126",322,"164",366
